File Path	chrom://uu-fts-mto-2-pc/ChromeleonLocal/machine data/Ramon/Robin/Annemarie/20250428-Co10TiO2-20Bar-10Co_20H2_3Ar_7N2-410Red-220FTS/1-100-202504288-Co10TiO2-20Bar-10CO_20H2_3Ar_7N2-410Red-220FTS.seq/408.smp/TCD_AuxLeft.channel/TCD_AuxLeft.chm
Channel	TCD_AuxLeft

Injection Information:
Data Vault	ChromeleonLocal
Injection	20230523_AK001_CO2
Injection Number	44
Position	1
Comment	
Processing Method	PW 20220328 final_Angela_wip_Ni
Instrument Method	IM_new_FID_column PW_AMshort_isotherm_170C
Type	Unknown
Status	Finished
Injection Date	29-Apr-25
Injection Time	08:02:13
Injection Volume (µl)	1.0
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.000000
Time Max. (min)	20.000000
Data Points	12001
Detector	GC
Generating Data System	Chromeleon 7.2.2.6909
Exporting Data System	Chromeleon 7.2.2.0
Operator	Instrument Controller
Signal Quantity	
Signal Unit	mV
Signal Min.	-0.411263
Signal Max.	170.711304
Channel	TCD_AuxLeft
Driver Name	Trace1300Driver.dll
Channel Type	Evaluation
Min. Step (s)	0.1
Max. Step (s)	0.1
Average Step (s)	0.1

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (mV)
0.000000	n.a.	0.015587
0.001667	0.1	0.015587
0.003333	0.1	0.016474
0.005000	0.1	0.015278
0.006667	0.1	0.014467
0.008333	0.1	0.015663
0.010000	0.1	0.014814
0.011667	0.1	0.014814
0.013333	0.1	0.014814
0.015000	0.1	0.014814
0.016667	0.1	0.014814
0.018333	0.1	0.014814
0.020000	0.1	0.014814
0.021667	0.1	0.014814
0.023333	0.1	0.014814
0.025000	0.1	0.014814
0.026667	0.1	0.014814
0.028333	0.1	0.014814
0.030000	0.1	0.014814
0.031667	0.1	0.014814
0.033333	0.1	0.014814
0.035000	0.1	0.014814
0.036667	0.1	0.014814
0.038333	0.1	0.014814
0.040000	0.1	0.014814
0.041667	0.1	0.014814
0.043333	0.1	0.014814
0.045000	0.1	0.014814
0.046667	0.1	0.014814
0.048333	0.1	0.014814
0.050000	0.1	0.014814
0.051667	0.1	0.014814
0.053333	0.1	0.014814
0.055000	0.1	0.014814
0.056667	0.1	0.014814
0.058333	0.1	0.014814
0.060000	0.1	0.014814
0.061667	0.1	0.014814
0.063333	0.1	0.014814
0.065000	0.1	0.014814
0.066667	0.1	0.014814
0.068333	0.1	0.014814
0.070000	0.1	0.014814
0.071667	0.1	0.014814
0.073333	0.1	0.014814
0.075000	0.1	0.014814
0.076667	0.1	0.014814
0.078333	0.1	0.014814
0.080000	0.1	0.014814
0.081667	0.1	0.014814
0.083333	0.1	0.014814
0.085000	0.1	0.014814
0.086667	0.1	0.014814
0.088333	0.1	0.014814
0.090000	0.1	0.014814
0.091667	0.1	0.014814
0.093333	0.1	0.014814
0.095000	0.1	0.014814
0.096667	0.1	0.014814
0.098333	0.1	0.014814
0.100000	0.1	0.014814
0.101667	0.1	0.014814
0.103333	0.1	0.014814
0.105000	0.1	0.014814
0.106667	0.1	0.014814
0.108333	0.1	0.014814
0.110000	0.1	0.014814
0.111667	0.1	0.014814
0.113333	0.1	0.014814
0.115000	0.1	0.014814
0.116667	0.1	0.014814
0.118333	0.1	0.014814
0.120000	0.1	0.014814
0.121667	0.1	0.014814
0.123333	0.1	0.014814
0.125000	0.1	0.014814
0.126667	0.1	0.014814
0.128333	0.1	0.014814
0.130000	0.1	0.014814
0.131667	0.1	0.014814
0.133333	0.1	0.014814
0.135000	0.1	0.014814
0.136667	0.1	0.014814
0.138333	0.1	0.014814
0.140000	0.1	0.014814
0.141667	0.1	0.014814
0.143333	0.1	0.014814
0.145000	0.1	0.014814
0.146667	0.1	0.014814
0.148333	0.1	0.014814
0.150000	0.1	0.014814
0.151667	0.1	0.014814
0.153333	0.1	0.014814
0.155000	0.1	0.014814
0.156667	0.1	0.002083
0.158333	0.1	0.009491
0.160000	0.1	0.008488
0.161667	0.1	0.008681
0.163333	0.1	0.007947
0.165000	0.1	0.009182
0.166667	0.1	0.007987
0.168333	0.1	0.008064
0.170000	0.1	0.007369
0.171667	0.1	0.007446
0.173333	0.1	0.006211
0.175000	0.1	0.006365
0.176667	0.1	0.006636
0.178333	0.1	0.005942
0.180000	0.1	0.006134
0.181667	0.1	0.005671
0.183333	0.1	0.005054
0.185000	0.1	0.004668
0.186667	0.1	0.004051
0.188333	0.1	0.005015
0.190000	0.1	0.006597
0.191667	0.1	0.006327
0.193333	0.1	0.006559
0.195000	0.1	0.004745
0.196667	0.1	0.005864
0.198333	0.1	0.005247
0.200000	0.1	0.005131
0.201667	0.1	0.005441
0.203333	0.1	0.005748
0.205000	0.1	0.004398
0.206667	0.1	0.004783
0.208333	0.1	0.005401
0.210000	0.1	0.005479
0.211667	0.1	0.004514
0.213333	0.1	0.005787
0.215000	0.1	0.005324
0.216667	0.1	0.003897
0.218333	0.1	0.005015
0.220000	0.1	0.005015
0.221667	0.1	0.004321
0.223333	0.1	0.005054
0.225000	0.1	0.005671
0.226667	0.1	0.004360
0.228333	0.1	0.004630
0.230000	0.1	0.004243
0.231667	0.1	0.003665
0.233333	0.1	0.004475
0.235000	0.1	0.004013
0.236667	0.1	0.003550
0.238333	0.1	0.003240
0.240000	0.1	0.003357
0.241667	0.1	0.002508
0.243333	0.1	0.001852
0.245000	0.1	0.002508
0.246667	0.1	0.001968
0.248333	0.1	0.002971
0.250000	0.1	0.001775
0.251667	0.1	0.001620
0.253333	0.1	0.001620
0.255000	0.1	0.001119
0.256667	0.1	0.001968
0.258333	0.1	0.002237
0.260000	0.1	0.002392
0.261667	0.1	0.000733
0.263333	0.1	0.001196
0.265000	0.1	0.000656
0.266667	0.1	-0.000231
0.268333	0.1	0.000733
0.270000	0.1	0.000347
0.271667	0.1	0.001544
0.273333	0.1	0.001003
0.275000	0.1	-0.000038
0.276667	0.1	-0.000848
0.278333	0.1	-0.000965
0.280000	0.1	-0.001158
0.281667	0.1	-0.000464
0.283333	0.1	0.000233
0.285000	0.1	-0.000464
0.286667	0.1	-0.000617
0.288333	0.1	-0.000579
0.290000	0.1	-0.000541
0.291667	0.1	0.000540
0.293333	0.1	-0.000231
0.295000	0.1	0.001003
0.296667	0.1	0.001504
0.298333	0.1	0.001312
0.300000	0.1	0.000926
0.301667	0.1	0.000540
0.303333	0.1	0.000116
0.305000	0.1	-0.000386
0.306667	0.1	-0.000888
0.308333	0.1	-0.001620
0.310000	0.1	-0.001428
0.311667	0.1	-0.002199
0.313333	0.1	-0.001813
0.315000	0.1	-0.001350
0.316667	0.1	-0.002045
0.318333	0.1	-0.001968
0.320000	0.1	-0.001813
0.321667	0.1	-0.001350
0.323333	0.1	-0.000848
0.325000	0.1	-0.000888
0.326667	0.1	-0.002430
0.328333	0.1	-0.001311
0.330000	0.1	-0.001466
0.331667	0.1	-0.002122
0.333333	0.1	-0.001273
0.335000	0.1	-0.001158
0.336667	0.1	-0.000694
0.338333	0.1	-0.001775
0.340000	0.1	-0.001775
0.341667	0.1	-0.002854
0.343333	0.1	-0.003550
0.345000	0.1	-0.002160
0.346667	0.1	-0.002470
0.348333	0.1	-0.003164
0.350000	0.1	-0.002971
0.351667	0.1	-0.002816
0.353333	0.1	-0.002854
0.355000	0.1	-0.002585
0.356667	0.1	-0.002623
0.358333	0.1	-0.002971
0.360000	0.1	-0.003318
0.361667	0.1	-0.003588
0.363333	0.1	-0.002777
0.365000	0.1	-0.003820
0.366667	0.1	-0.003433
0.368333	0.1	-0.003087
0.370000	0.1	-0.002932
0.371667	0.1	-0.003627
0.373333	0.1	-0.003125
0.375000	0.1	-0.003781
0.376667	0.1	-0.002470
0.378333	0.1	-0.003202
0.380000	0.1	-0.002816
0.381667	0.1	-0.004051
0.383333	0.1	-0.003394
0.385000	0.1	-0.002045
0.386667	0.1	-0.002507
0.388333	0.1	-0.003318
0.390000	0.1	-0.003318
0.391667	0.1	-0.003240
0.393333	0.1	-0.003897
0.395000	0.1	-0.003934
0.396667	0.1	-0.001813
0.398333	0.1	-0.003665
0.400000	0.1	-0.003394
0.401667	0.1	-0.004514
0.403333	0.1	-0.003704
0.405000	0.1	-0.002623
0.406667	0.1	-0.003665
0.408333	0.1	-0.003202
0.410000	0.1	-0.003433
0.411667	0.1	-0.004089
0.413333	0.1	-0.003897
0.415000	0.1	-0.002430
0.416667	0.1	-0.003087
0.418333	0.1	-0.003164
0.420000	0.1	-0.002932
0.421667	0.1	-0.003048
0.423333	0.1	-0.002547
0.425000	0.1	-0.003973
0.426667	0.1	-0.005401
0.428333	0.1	-0.005362
0.430000	0.1	-0.005093
0.431667	0.1	-0.004167
0.433333	0.1	-0.004899
0.435000	0.1	-0.002971
0.436667	0.1	-0.004129
0.438333	0.1	-0.004205
0.440000	0.1	-0.003665
0.441667	0.1	-0.004707
0.443333	0.1	-0.003588
0.445000	0.1	-0.003627
0.446667	0.1	-0.003665
0.448333	0.1	-0.003934
0.450000	0.1	-0.002392
0.451667	0.1	-0.003280
0.453333	0.1	-0.003433
0.455000	0.1	-0.004244
0.456667	0.1	-0.004899
0.458333	0.1	-0.005246
0.460000	0.1	-0.005555
0.461667	0.1	-0.005941
0.463333	0.1	-0.006790
0.465000	0.1	-0.006289
0.466667	0.1	-0.005209
0.468333	0.1	-0.006327
0.470000	0.1	-0.005787
0.471667	0.1	-0.004784
0.473333	0.1	-0.006713
0.475000	0.1	-0.005594
0.476667	0.1	-0.003897
0.478333	0.1	-0.005286
0.480000	0.1	-0.004784
0.481667	0.1	-0.004630
0.483333	0.1	-0.004822
0.485000	0.1	-0.004861
0.486667	0.1	-0.005132
0.488333	0.1	-0.005555
0.490000	0.1	-0.006443
0.491667	0.1	-0.005362
0.493333	0.1	-0.006404
0.495000	0.1	-0.006250
0.496667	0.1	-0.007215
0.498333	0.1	-0.007793
0.500000	0.1	-0.006637
0.501667	0.1	-0.005555
0.503333	0.1	-0.006944
0.505000	0.1	-0.006713
0.506667	0.1	-0.006790
0.508333	0.1	-0.006327
0.510000	0.1	-0.005979
0.511667	0.1	-0.006404
0.513333	0.1	-0.005826
0.515000	0.1	-0.006173
0.516667	0.1	-0.006944
0.518333	0.1	-0.007755
0.520000	0.1	-0.008835
0.521667	0.1	-0.007331
0.523333	0.1	-0.008488
0.525000	0.1	-0.008912
0.526667	0.1	-0.008680
0.528333	0.1	-0.008719
0.530000	0.1	-0.008024
0.531667	0.1	-0.007985
0.533333	0.1	-0.006906
0.535000	0.1	-0.007909
0.536667	0.1	-0.007948
0.538333	0.1	-0.009567
0.540000	0.1	-0.008873
0.541667	0.1	-0.009221
0.543333	0.1	-0.008449
0.545000	0.1	-0.008488
0.546667	0.1	-0.008759
0.548333	0.1	-0.007561
0.550000	0.1	-0.007755
0.551667	0.1	-0.007716
0.553333	0.1	-0.006790
0.555000	0.1	-0.005941
0.556667	0.1	-0.006211
0.558333	0.1	-0.006674
0.560000	0.1	-0.006173
0.561667	0.1	-0.007755
0.563333	0.1	-0.007523
0.565000	0.1	-0.007331
0.566667	0.1	-0.008179
0.568333	0.1	-0.008333
0.570000	0.1	-0.006713
