File Path	chrom://uu-fts-mto-2-pc/ChromeleonLocal/machine data/Ramon/Robin/Annemarie/20250428-Co10TiO2-20Bar-10Co_20H2_3Ar_7N2-410Red-220FTS/1-100-202504288-Co10TiO2-20Bar-10CO_20H2_3Ar_7N2-410Red-220FTS.seq/796.smp/TCD_AuxLeft.channel/TCD_AuxLeft.chm
Channel	TCD_AuxLeft

Injection Information:
Data Vault	ChromeleonLocal
Injection	20230523_AK001_CO2
Injection Number	10
Position	1
Comment	
Processing Method	PW 20220328 final_Angela_wip_Ni
Instrument Method	IM_new_FID_column PW_AMshort_isotherm_170C
Type	Unknown
Status	Finished
Injection Date	28-Apr-25
Injection Time	19:58:05
Injection Volume (µl)	1.0
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.000000
Time Max. (min)	20.000000
Data Points	12001
Detector	GC
Generating Data System	Chromeleon 7.2.2.6909
Exporting Data System	Chromeleon 7.2.2.0
Operator	Instrument Controller
Signal Quantity	
Signal Unit	mV
Signal Min.	-0.462767
Signal Max.	170.121964
Channel	TCD_AuxLeft
Driver Name	Trace1300Driver.dll
Channel Type	Evaluation
Min. Step (s)	0.1
Max. Step (s)	0.1
Average Step (s)	0.1

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (mV)
0.000000	n.a.	0.012114
0.001667	0.1	0.011535
0.003333	0.1	0.011921
0.005000	0.1	0.012461
0.006667	0.1	0.011844
0.008333	0.1	0.011921
0.010000	0.1	0.011381
0.011667	0.1	0.011381
0.013333	0.1	0.011381
0.015000	0.1	0.011381
0.016667	0.1	0.011381
0.018333	0.1	0.011381
0.020000	0.1	0.011381
0.021667	0.1	0.011381
0.023333	0.1	0.011381
0.025000	0.1	0.011381
0.026667	0.1	0.011381
0.028333	0.1	0.011381
0.030000	0.1	0.011381
0.031667	0.1	0.011381
0.033333	0.1	0.011381
0.035000	0.1	0.011381
0.036667	0.1	0.011381
0.038333	0.1	0.011381
0.040000	0.1	0.011381
0.041667	0.1	0.011381
0.043333	0.1	0.011381
0.045000	0.1	0.011381
0.046667	0.1	0.011381
0.048333	0.1	0.011381
0.050000	0.1	0.011381
0.051667	0.1	0.011381
0.053333	0.1	0.011381
0.055000	0.1	0.011381
0.056667	0.1	0.011381
0.058333	0.1	0.011381
0.060000	0.1	0.011381
0.061667	0.1	0.011381
0.063333	0.1	0.011381
0.065000	0.1	0.011381
0.066667	0.1	0.011381
0.068333	0.1	0.011381
0.070000	0.1	0.011381
0.071667	0.1	0.011381
0.073333	0.1	0.011381
0.075000	0.1	0.011381
0.076667	0.1	0.011381
0.078333	0.1	0.011381
0.080000	0.1	0.011381
0.081667	0.1	0.011381
0.083333	0.1	0.011381
0.085000	0.1	0.011381
0.086667	0.1	0.011381
0.088333	0.1	0.011381
0.090000	0.1	0.011381
0.091667	0.1	0.011381
0.093333	0.1	0.011381
0.095000	0.1	0.011381
0.096667	0.1	0.011381
0.098333	0.1	0.011381
0.100000	0.1	0.011381
0.101667	0.1	0.011381
0.103333	0.1	0.011381
0.105000	0.1	0.011381
0.106667	0.1	0.011381
0.108333	0.1	0.011381
0.110000	0.1	0.011381
0.111667	0.1	0.011381
0.113333	0.1	0.011381
0.115000	0.1	0.011381
0.116667	0.1	0.011381
0.118333	0.1	0.011381
0.120000	0.1	0.011381
0.121667	0.1	0.011381
0.123333	0.1	0.011381
0.125000	0.1	0.011381
0.126667	0.1	0.011381
0.128333	0.1	0.011381
0.130000	0.1	0.011381
0.131667	0.1	0.011381
0.133333	0.1	0.011381
0.135000	0.1	0.011381
0.136667	0.1	0.011381
0.138333	0.1	0.011381
0.140000	0.1	0.011381
0.141667	0.1	0.011381
0.143333	0.1	0.011381
0.145000	0.1	0.011381
0.146667	0.1	0.011381
0.148333	0.1	0.011381
0.150000	0.1	0.011381
0.151667	0.1	0.011381
0.153333	0.1	0.011381
0.155000	0.1	0.011381
0.156667	0.1	0.011381
0.158333	0.1	0.011381
0.160000	0.1	-0.050308
0.161667	0.1	0.006327
0.163333	0.1	0.006443
0.165000	0.1	0.005980
0.166667	0.1	0.007214
0.168333	0.1	0.006712
0.170000	0.1	0.006559
0.171667	0.1	0.006443
0.173333	0.1	0.004437
0.175000	0.1	0.005170
0.176667	0.1	0.006058
0.178333	0.1	0.005710
0.180000	0.1	0.005401
0.181667	0.1	0.005671
0.183333	0.1	0.004977
0.185000	0.1	0.005170
0.186667	0.1	0.005825
0.188333	0.1	0.005208
0.190000	0.1	0.004977
0.191667	0.1	0.005131
0.193333	0.1	0.004475
0.195000	0.1	0.004862
0.196667	0.1	0.004938
0.198333	0.1	0.005632
0.200000	0.1	0.005285
0.201667	0.1	0.003897
0.203333	0.1	0.002739
0.205000	0.1	0.002856
0.206667	0.1	0.003086
0.208333	0.1	0.003163
0.210000	0.1	0.003048
0.211667	0.1	0.004205
0.213333	0.1	0.003780
0.215000	0.1	0.002546
0.216667	0.1	0.001389
0.218333	0.1	0.002198
0.220000	0.1	0.002585
0.221667	0.1	0.002893
0.223333	0.1	0.002354
0.225000	0.1	0.001620
0.226667	0.1	0.001929
0.228333	0.1	0.000887
0.230000	0.1	0.000926
0.231667	0.1	0.000233
0.233333	0.1	0.000270
0.235000	0.1	0.000233
0.236667	0.1	0.000233
0.238333	0.1	-0.000733
0.240000	0.1	-0.000501
